sample,filename,microscope,magnification_x,condition,pixel_size_um_per_px,scale_factor,image_height_px,image_width_px,n_channels,dtype
ID18,10X-CTRL-Foto1.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto2.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto3.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto4.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto5.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto6.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto7.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-CTRL-Foto8.tif,EVOS,10,CTRL,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto1.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto2.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto3.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto4.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto5.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto6.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto7.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID18,10X-MATURE-Foto8.tif,EVOS,10,MATURE,0.883002,1.968653,960,1280,2,uint16
ID19,20X-CTRL-Foto1.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto10.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto2.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto3.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto4.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto5.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto6.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto7.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto8.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-CTRL-Foto9.tif,EVOS,20,CTRL,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto1.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto10.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto11.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto15.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto16.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto2.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto3.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto4.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto5.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto7.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto8.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID19,20X-MATURE-Foto9.tif,EVOS,20,MATURE,0.448531,1.0,960,1280,2,uint16
ID23,10X-CMs25d-Foto1.tif,Axiocam,10,CMs25d,0.586,1.306487,1216,1920,2,uint16
ID23,10X-CMs25d-Foto2.tif,Axiocam,10,CMs25d,0.586,1.306487,1216,1920,2,uint16
ID23,10X-CMs25d-Foto3.tif,Axiocam,10,CMs25d,0.586,1.306487,1216,1920,2,uint16
ID23,10X-CMs25d-Foto4.tif,Axiocam,10,CMs25d,0.586,1.306487,1216,1920,2,uint16
ID23,10X-CMs25d-Foto5.tif,Axiocam,10,CMs25d,0.586,1.306487,1216,1920,2,uint16
ID23,10X-CTRL-Foto1.tif,Axiocam,10,CTRL,1.172,2.612974,608,960,2,uint16
ID23,10X-CTRL-Foto2.tif,Axiocam,10,CTRL,1.172,2.612974,608,960,2,uint16
ID23,10X-MATURE-Foto1.tif,Axiocam,10,MATURE,1.172,2.612974,608,960,2,uint16
ID23,10X-MATURE-Foto2.tif,Axiocam,10,MATURE,1.172,2.612974,608,960,2,uint16
N2,10X-CMs25d-Foto1.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,3,uint16
N2,10X-CMs25d-Foto2.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,3,uint16
N2,10X-CMs25d-Foto3.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,3,uint16
N2,10X-CMs25d-Foto5.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,3,uint16
N2,10X-CTRL-Foto1.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,2,uint16
N2,10X-CTRL-Foto2.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,2,uint16
N2,10X-CTRL-Foto3.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,2,uint16
N2,10X-CTRL-Foto4.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,2,uint16
N2,10X-CTRL-Foto5.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,2,uint16
N2,10X-MATURE-Foto1.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,2,uint16
N2,10X-MATURE-Foto2.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,2,uint16
N2,10X-MATURE-Foto3.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,2,uint16
N2,10X-MATURE-Foto4.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,2,uint16
N2,10X-MATURE-Foto5.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,2,uint16
N3,10X-CMs25d-Foto1.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,2,uint8
N3,10X-CMs25d-Foto2.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,2,uint8
N3,10X-CMs25d-Foto3.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,2,uint8
N3,10X-CMs25d-Foto4.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,2,uint8
N3,10X-CMs25d-Foto5.tif,Axiocam,10,CMs25d,1.172,2.612974,608,960,2,uint8
N3,10X-CTRL-Foto1.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-CTRL-Foto2.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-CTRL-Foto3.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-CTRL-Foto4.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-CTRL-Foto5.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-CTRL-Foto6.tif,Axiocam,10,CTRL,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto1.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto2.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto3.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto4.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto5.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
N3,10X-MATURE-Foto6.tif,Axiocam,10,MATURE,0.586,1.306487,1216,1920,3,uint8
